,Item Name,What kind of item is it?,Total number of ingredients,Name of first (main) ingredient,Serving Size,Calories per serving,Total Sodium,Total Carbohydrates,Total Fat,Total Protein,What allergens does it contain?,Does it contain GMO crops?,Where was it made?,"How Processed is it?
(see instructions for ranking)"
0,milk,1,3,organic nonfat milk,256,90 ,130 ,12 ,0 ,9 ,milk,0,usa,0.0
1,hummus,2,10,cooked organic chickpeas,462,80,120 ,6,5,2,sesame,0,usa,1.0
2,graham crackers,3,12,organic whole wheat flour,326,130,130 ,24,3,2,"wheat, milk, soy",0,usa,4.0
3,cannellini beans,4,3,organic prepared cannellini beans,25792,100,110 ,19 ,0,6,none,0,usa,2.0
4,raw shrimp,2,2,raw shrimp,none,80,220 ,0,0.5,19,shrimp,0,usa,1.0
5,garbanzos,4,3,organic prepared garbanzos (chickpeas),130,120,85,20,2,6,none,0,usa,2.0
6,sparkling strawberry juice,1,5,strawberry juice,none,60,0,16,0,0,none,0,vietnam,3.0
7,cheese ravioli,2,19,organic ricotta cheese,90,260,510,31,11,11,"egg, milk, wheat",0,usa,3.0
8,thin-sliced organic bread,2,36,organic whole weat,none,60,105,14,1,3,wheat,0,usa,3.0
9,popcorn,3,3,popcorn,none,150,75,15,10,2,none,0,usa,4.0
10,ketchup,2,6,organic tomato purée,291,20 ,160 ,4 ,0 ,0 ,none,0,usa,3.0
11,nature valley crunchy granola bars,3,10,whole grain oats,882,190 ,140 ,29 ,7 ,3 ,"soy, peanut, almond, pecan",1,usa,4.0
12,dino nuggets,2,17,boneless skinless chicken ,none,180 ,260 ,13 ,10 ,9 ,wheat,0,canada,5.0
13,milk,1,5,organic milk,none,140 ,140 ,13 ,5 ,10 ,milk,0,usa,1.0
14,dried apricots,4,1,organic dried apricots ,4760,130 ,0 ,31 ,0 ,1 ,none,0,turkey,1.0
15,great northern beans,4,3,organic great northern beans,131,110,40 ,20 ,0.5,5 ,none,0,"clinton, michigan",2.0
16,dried mango,3,1,dried mango,none,130,0 ,32 ,0 ,none,none,1,mexico,1.0
17,kvass,1,12,biotic raw kvass,none,20,140 ,4 ,0 ,0 ,none,0,california,1.0
18,broth,2,3,filtered water,none,50,150 ,0 ,0 ,13 ,none,1,california,1.0
19,frozen blueberries,2,1,organic blueberries,140,70,0 ,17 ,1 ,none,none,0,texas,2.0
20,hint sparkling water,1,2,purified water,none,0 ,0 ,0 ,0 ,0 ,none,0,usa,1.0
21,canned tomatoes,4,5,organic tomatoes,27216,25 ,220 ,5 ,0 ,1 ,none,0,usa,2.0
22,roasted chestnuts,3,1,organic roasted chestnut kernels,420,100 ,0 ,17 ,0.5,2 ,nuts,0,china,1.0
23,beijing yogurt (matcha),2,7,cultured pasteurized milk,none,120 ,70 ,22 ,5 ,4 ,milk,0,usa,3.0
24,sweet rice balls,2,3,sweet rice,none,250 ,5 ,51 ,3 ,3 ,none,0,usa,2.0
25, yogurt,2,1,yogurt,125,140,60,11,4.5,13,yogurt,0,usa,1.0
26,nesquick,1,8,cacoa,none,150,135,24,2.5,9,milk and wheat,1,switzerland,4.0
27,bloks,3,16,tapioca syrup,none,100,50,24,0,0,caffeine,1,usa,4.0
28,gogo squirts,3,4,apple,none,70,0,16,0,0,apple,0,usa,2.0
29,pretzel crackers,3,6,enriched wheat flour,84,110,270,24,0,2,wheat,1,usa,none
30,tru fru (chocolate covered strawberries),2,6,strawberries,none,90 ,15 ,10 ,5 ,1 ,milk and soy,0,none,none
31,organic valley cream cheese,2,6,organic pasturized milk,none,110 ,100 ,2 ,10 ,2 ,none,0,none,none
32,veggie crisps,3,7,rice flour,none,130 ,140 ,19 ,5 ,3 ,none,0,none,none
33,oat milk,1,4,oatmilk,none,130 ,115 ,13 ,7 ,2 ,nuts,0,none,none
34,chunk light tuna,4,4,light tuna,57,80 ,150 ,0 ,3 ,14 ,fish,0,none,none
35,ice cream,2,10,pasteurized organic cream and organic nonfat milk,12800,330,30,28,23,4,"milk, soy",0,usa,2.0
36,cottage cheese,2,14,organic nonfat milk,12430,90,420,4,2.5,14,milk,0,usa,1.0
37,pop corners,3,4,yellow corn,802,130,110,22,4,2,no,0,usa,4.0
38,mtn dew,1,19,carbonated water,none,10,85,none,0,0,none,0,usa,3.0
39,crab meat,4,3,lump white crab meat,none,80,670,none,1,17,shellfish,0,indonesia,2.0
40,plantain chips,4,3,green planatains,840,150 ,125 ,18 ,8 ,1 ,none,0,ecuador,1.0
41,graham crackers,3,12,enriched wheat flour,326,130 ,120 ,24 ,3.5,2 ,"soy, wheat",1,canada,4.0
42,izze,1,8,sparkling water,none,70,10 ,16 ,0 ,0 ,none,0,usa,none
43,whole milk yogurt,2,3,pastuerized organic whole milk,none,120,85 ,10 ,4.5,9 ,none,0,usa,none
44,thai shrimp gyoza,2,19,shrimp,none,160,230 ,24 ,4.5,6 ,"shrimp, soy, wheat, sesame",1,thailand,none
45,apple cider vinegar,2,2,organic apple cider vinegar,none,0 ,0 ,0 ,0 ,0 ,none,0,usa,1.0
46,won ton wrappers,2,7,enriched wheat flour,none,70 ,55 ,13 ,0 ,2 ,"wheat, eggs",0,usa,none
47,almond butter cups,3,7,organic dark chocolate,none,230 ,120 ,20 ,15 ,3 ,"almonds, may contain tree nuts, peanuts, milk, soy, wheat, sesame",0,usa,none
48,whole milk,1,2,organic milk,62400,160 ,130 ,13 ,9 ,9 ,milk,0,usa,none
49,sweetened condensed milk,4,2,milk,1521,130 ,45 ,22 ,3.5,2 ,milk,0,chile,none
50,veggie straws,3,24,potato starch,none,130 ,370 ,17 ,7 ,none,milk,0,usa,4.2
